,饰品名,buff均价,steam市场价,利润,利率
53,AK-47 | 深海复仇 (略有磨损),163.55,236.22,41.85869565217391,0.2559382186008799
54,M4A4 | 齿仙 (久经沙场),15.420999999999998,22.25,3.9268260869565257,0.2546414685789849
55,M4A1 消音型 | 机械工业 (略有磨损),91.547,132.07,23.296478260869577,0.2544756055454529
56,M4A1 消音型 | 女火神之炽焰 (久经沙场),86.01299999999999,124.08,21.88265217391306,0.2544109864080204
57,AK-47 | 阿努比斯军团 (略有磨损),77.345,111.57,19.672391304347826,0.25434599915117756
58,AK-47 | 霓虹革命 (崭新出厂),190.37,274.59,48.40391304347824,0.25426229470756023
59,M4A4 | 黑色魅影 (崭新出厂),169.736,244.74,43.08139130434785,0.2538141072273875
60,M4A1 消音型 | 印花集 (破损不堪),248.536,358.04,62.803130434782645,0.2526922877763489
61,M4A4 | 皇家圣骑士 (略有磨损),93.01899999999999,133.94,23.450565217391315,0.25210510989573437
62,AWP | 野火 (略有磨损),307.852,443.04,77.40017391304355,0.2514200781968074
63,AK-47 | 混沌点阵 (略有磨损),78.2,112.34,19.48695652173913,0.24919381741354388
64,AK-47 | 血腥运动 (略有磨损),238.22899999999998,341.92,59.092739130434836,0.24805014977368348
65,M4A1 消音型 | 毁灭者 2000 (略有磨损),46.737,67.07,11.584739130434777,0.24787083318216352
66,M4A4 | 二西莫夫 (破损不堪),351.35,502.11,85.26739130434783,0.24268504711640193
67,AK-47 | 二西莫夫 (略有磨损),191.08800000000002,273.05,46.34678260869566,0.24254156518826747
68,M4A1 消音型 | 女火神之炽焰 (略有磨损),160.14600000000002,228.74,38.758347826086975,0.24201883172909078
69,M4A4 | 赛博 (略有磨损),33.382,47.59,8.000608695652183,0.2396683450857403
70,AWP | 死神 (崭新出厂),25.737000000000002,36.69,6.1673478260869565,0.23962963150666186
71,AWP | 冲出重围 (久经沙场),226.558,322.45,53.83330434782613,0.23761378696769098
72,AWP | 二西莫夫 (破损不堪),302.025,429.69,71.61847826086961,0.2371276492372142
73,M4A4 | 皇帝 (久经沙场),52.378,74.48,12.387217391304361,0.23649657091344384
74,M4A1 消音型 | 毁灭者 2000 (久经沙场),33.637,47.79,7.919521739130438,0.23544078660791504
75,AWP | 二西莫夫 (战痕累累),233.13899999999998,331.15,54.817521739130456,0.23512806411252712
76,M4A4 | 黑色魅影 (久经沙场),28.968,41.14,6.805913043478267,0.23494590732802634
77,AK-47 | 幻影破坏者 (久经沙场),25.839999999999996,36.63,6.012173913043487,0.23266926908063032
78,AK-47 | 二西莫夫 (久经沙场),110.30999999999999,156.32,25.62043478260871,0.2322584968054457
79,AK-47 | 燃料喷射器 (略有磨损),531.4,752.01,122.52173913043487,0.23056405557101028
80,AWP | 电子蜂巢 (崭新出厂),264.399,373.58,60.453173913043486,0.22864373130398938
81,AWP | 暴怒野兽 (崭新出厂),332.736,469.54,75.5596521739131,0.227085894444584
82,AK-47 | 混沌点阵 (崭新出厂),132.568,187.02,30.05808695652175,0.22673712326143372
83,M4A4 | 龙王 (崭新出厂),83.97,118.27,18.873478260869575,0.2247645380596591
84,M4A4 | 龙王 (略有磨损),39.023,54.94,8.750913043478256,0.22425013565021285
85,AWP | 冲出重围 (略有磨损),386.002,541.39,84.77191304347826,0.21961521713223833
86,AWP | 黑色魅影 (略有磨损),139.289,195.01,30.28491304347827,0.2174250159271606
87,AWP | 野火 (崭新出厂),467.63,654.37,101.38739130434783,0.21681113552241693
88,AK-47 | 血腥运动 (崭新出厂),296.8,414.6,63.7217391304348,0.21469588655806873
89,AK-47 | 燃料喷射器 (久经沙场),379.069,529.52,81.38317391304349,0.21469224313526955
90,M4A4 | 活色生香 (略有磨损),111.39000000000001,155.55,23.87086956521739,0.2142999332544877
91,M4A4 | 皇帝 (崭新出厂),400.75,559.44,85.71956521739139,0.21389785456616692
92,AK-47 | 血腥运动 (破损不堪),208.19899999999998,290.2,44.14882608695655,0.21205109576394002
93,AWP | 红线 (略有磨损),193.964,269.95,40.775130434782625,0.21022009462984176
94,M4A1 消音型 | 次时代 (略有磨损),60.948,84.35,12.399826086956516,0.20344926965538682
95,AK-47 | 血腥运动 (久经沙场),203.91,282.01,41.31608695652176,0.20261922885842656
96,AK-47 | 幻影破坏者 (略有磨损),36.182,50.04,7.331043478260867,0.20261576138026827
97,AK-47 | 表面淬火 (久经沙场),478.849,662.24,97.01186956521741,0.20259386479916927
98,AK-47 | 皇后 (崭新出厂),368.44000000000005,509.53,74.62956521739125,0.2025555455905744
99,AK-47 | 火神 (久经沙场),396.9,547.83,79.47391304347838,0.20023661638568502
100,AK-47 | 阿努比斯军团 (崭新出厂),116.228,159.8,22.72852173913047,0.1955511730317176
101,M4A4 | X 光 (略有磨损),39.785000000000004,54.62,7.71065217391304,0.1938080224685947
102,AWP | 红线 (久经沙场),109.548,150.39,21.225913043478243,0.19375901927445724
103,M4A1 消音型 | 神来之作 (略有磨损),358.049,491.21,69.09013043478262,0.1929627800518438
104,AK-47 | 红线 (略有磨损),239.35,328.31,46.136956521739165,0.19275937548251165
105,AWP | 二西莫夫 (久经沙场),409.64799999999997,561.25,78.39547826086965,0.19137278409968964
106,M4A1 消音型 | 守护者 (略有磨损),79.41,108.28,14.746521739130444,0.18570106710905987
107,M4A1 消音型 | 金蛇缠绕 (略有磨损),196.288,267.44,36.26852173913045,0.1847719765809955
108,AK-47 | 二西莫夫 (崭新出厂),639.289,869.18,116.51969565217394,0.18226450893441612
109,M4A1 消音型 | 女火神之炽焰 (崭新出厂),382.408,519.46,69.29634782608701,0.18121050769358124
110,AK-47 | 红线 (久经沙场),60.524,81.9,10.693391304347841,0.17668018148747341
111,M4A1 消音型 | 机械工业 (久经沙场),59.416,80.29,10.40139130434784,0.17506044338810825
112,AK-47 | 抽象派1337 (久经沙场),128.877,174.06,22.479521739130433,0.17442617176944242
113,M4A4 | 活色生香 (崭新出厂),260.195,349.72,43.909347826087014,0.1687555403681355
114,M4A4 | 齿仙 (崭新出厂),34.767,46.5,5.667782608695653,0.16302190608035355
115,AK-47 | 霓虹骑士 (略有磨损),224.4,299.42,35.96521739130438,0.16027280477408368
116,AK-47 | 抽象派1337 (崭新出厂),301.0,396.48,43.76521739130442,0.14539939332659274
117,AK-47 | 抽象派1337 (略有磨损),191.845,252.54,27.755000000000024,0.14467408585055658
118,M4A4 | 赛博 (久经沙场),18.519000000000002,24.31,2.620130434782606,0.14148336491077304
119,M4A4 | X 光 (崭新出厂),55.05899999999999,72.23,7.7496956521739335,0.14075256819364562
120,M4A4 | 赛博 (崭新出厂),68.58,89.9,9.593913043478267,0.13989374516591233
121,M4A1 消音型 | 守护者 (久经沙场),74.667,96.73,9.446043478260876,0.1265089460974845
122,M4A1 消音型 | 守护者 (崭新出厂),106.356,134.33,10.452695652173944,0.09828026300513318
